nomeEurl	texto
joercio-fontenelle-barbalho	Escândalos de corrupção
jorge-lorenzetti	Escândalos de corrupção
jorge-mattoso	Escândalos de corrupção
jorge-murad	Escândalos de corrupção
jorge-pinheiro	Escândalos de corrupção
jorgina-maria-de-freitas	Escândalos de corrupção
jose-adalberto-vieira-da-silva	Escândalos de corrupção
jose-airton	Escândalos de corrupção
jose-artur-guedes-tourinho	Escândalos de corrupção
jose-augusto-bellini-e-jorge-luiz-bezerra-da-silva	Escândalos de corrupção
jose-borba	Escândalos de corrupção
jose-carlos-alves-dos-santos	Escândalos de corrupção
jose-celso-gontijo	Escândalos de corrupção
jose-dirceu	Escândalos de corrupção
jose-edison-da-silva	Escândalos de corrupção
jose-eduardo-correa-teixeira-ferraz	Escândalos de corrupção
jose-ermirio-de-moraes-filho	Escândalos de corrupção
jose-euricelio-alves-carvalho	Escândalos de corrupção
jose-genoino	Escândalos de corrupção
jose-geraldo-maciel	Escândalos de corrupção
jose-izar	Escândalos de corrupção
jose-janene	Escândalos de corrupção
jose-luiz-alves	Escândalos de corrupção
jose-nobre-guimaraes	Escândalos de corrupção
jose-osmar-borges	Escândalos de corrupção
jose-pio-borges	Escândalos de corrupção
jose-priante	Escândalos de corrupção
jose-reinaldo-tavares	Escândalos de corrupção
jose-roberto-arruda	Escândalos de corrupção
jose-roberto-camargo-campos	Escândalos de corrupção
jose-roberto-salgado	Escândalos de corrupção
jose-sarney	Escândalos de corrupção
josue-bengtson	Escândalos de corrupção
julio-froes	Escândalos de corrupção
julio-sergio-gomes-de-almeida	Escândalos de corrupção
junior-brunelli	Escândalos de corrupção
juscelino-dourado	Escândalos de corrupção
katia-rabello	Escândalos de corrupção
laercio-barbalho	Escândalos de corrupção
laercio-barbalho-junior	Escândalos de corrupção
leonardo-bandarra	Escândalos de corrupção
leonardo-prudente	Escândalos de corrupção
leopoldo-collor-de-mello	Escândalos de corrupção
lidio-duarte	Escândalos de corrupção
lina-vieira	Escândalos de corrupção
lino-rossi	Escândalos de corrupção
lucio-bolonha-funaro	Escândalos de corrupção
luiz-antonio-fleury-filho	Escândalos de corrupção
luiz-antonio-goncalves	Escândalos de corrupção
luiz-antonio-pagot	Escândalos de corrupção
luiz-antonio-vedoin	Escândalos de corrupção
luiz-carlos-mendonca-de-barros	Escândalos de corrupção
luiz-claudio-ferraz	Escândalos de corrupção
luiz-estevao	Escândalos de corrupção
luiz-garcia-coelho	Escândalos de corrupção
luiz-guilherme-barbalho	Escândalos de corrupção
luiz-gushiken	Escândalos de corrupção
luiz-inacio-lula-da-silva	Escândalos de corrupção
luiz-lanzetta	Escândalos de corrupção
luiz-malheiro	Escândalos de corrupção
maeli-vergniano	Escândalos de corrupção
magno-malta	Escândalos de corrupção
marcelo-netto	Escândalos de corrupção
marcelo-sereno	Escândalos de corrupção
marcia-cristina-zahluth-centeno	Escândalos de corrupção
marcio-thomaz-bastos	Escândalos de corrupção
marco-antonio-de-oliveira	Escândalos de corrupção
marcondes-gadelha	Escândalos de corrupção
marconi-perillo	Escândalos de corrupção
marcos-roberto-bispo-dos-santos	Escândalos de corrupção
marcos-valerio	Escândalos de corrupção
maria-auxiliadora-barra-martins	Escândalos de corrupção
maria-helena-fontes	Escândalos de corrupção
mario-moyses	Escândalos de corrupção
mario-negromonte	Escândalos de corrupção
matilde-ribeiro	Escândalos de corrupção
matusael-nascimento	Escândalos de corrupção
mauricio-benedito-vasconcelos	Escândalos de corrupção
mauricio-marinho	Escândalos de corrupção
mauro-dutra	Escândalos de corrupção
milton-ortolan	Escândalos de corrupção
monica-veloso	Escândalos de corrupção
nair-xavier-lobo	Escândalos de corrupção
naji-nahas	Escândalos de corrupção
narciso-mendes	Escândalos de corrupção
nene-constantino	Escândalos de corrupção
ney-suassuna	Escândalos de corrupção
nicea-camargo	Escândalos de corrupção
nicolau-dos-santos-neto	Escândalos de corrupção
nilton-capixaba	Escândalos de corrupção
nilton-monteiro	Escândalos de corrupção
nivaldo-bernardi	Escândalos de corrupção
norma-cunha	Escândalos de corrupção
odilon-aires	Escândalos de corrupção
olga-youssef	Escândalos de corrupção
onezimo-de-souza	Escândalos de corrupção
orestes-quercia	Escândalos de corrupção
orlando-silva	Escândalos de corrupção
orleir-cameli	Escândalos de corrupção
oscar-juca	Escândalos de corrupção
osmir-lima	Escândalos de corrupção
osvaldo-bargas	Escândalos de corrupção
otavio-ceccato	Escândalos de corrupção
paulinho-da-forca	Escândalos de corrupção
paulo-afonso-vieira	Escândalos de corrupção
paulo-cesar-pc-farias	Escândalos de corrupção
paulo-feijo	Escândalos de corrupção
paulo-gomes-dos-santos-filho	Escândalos de corrupção
paulo-lacerda	Escândalos de corrupção
paulo-maluf	Escândalos de corrupção
paulo-octavio	Escândalos de corrupção
paulo-renato-souza	Escândalos de corrupção
paulo-roberto-goncalves-da-silva	Escândalos de corrupção
paulo-rocha	Escândalos de corrupção
paulo-vieira-de-souza-paulo-preto	Escândalos de corrupção
pedro-collor-de-mello	Escândalos de corrupção
pedro-correa	Escândalos de corrupção
pedro-do-ovo	Escândalos de corrupção
pedro-henry	Escândalos de corrupção
pedro-novais	Escândalos de corrupção
professor-luizinho	Escândalos de corrupção
protogenes-queiroz	Escândalos de corrupção
ramon-hollerbach	Escândalos de corrupção
ranulfo-vidigal-ribeiro	Escândalos de corrupção
raul-felix	Escândalos de corrupção
raul-filho	Escândalos de corrupção
raymundo-nonato-lopes-pinheiro	Escândalos de corrupção
regina-borges	Escândalos de corrupção
renan-calheiros	Escândalos de corrupção
renan-filho	Escândalos de corrupção
ricardo-berzoini	Escândalos de corrupção
ricardo-costa-moraes	Escândalos de corrupção
ricardo-fiuza	Escândalos de corrupção
ricardo-rique	Escândalos de corrupção
ricardo-sergio-de-oliveira	Escândalos de corrupção
ricardo-tosto	Escândalos de corrupção
roberto-garcia-salmeron	Escândalos de corrupção
roberto-jefferson	Escândalos de corrupção
rodolfo-rodrigo-dos-santos-oliveira	Escândalos de corrupção
rodrigo-pereira-gomes-junior	Escândalos de corrupção
rogerio-buratti	Escândalos de corrupção
rogerio-correia	Escândalos de corrupção
rogerio-lanza-tolentino	Escândalos de corrupção
rogerio-ulysses	Escândalos de corrupção
romeu-ferreira-queiroz	Escândalos de corrupção
ronaldo-ganon	Escândalos de corrupção
roney-nemer	Escândalos de corrupção
ronivon-santiago	Escândalos de corrupção
rosane-collor	Escândalos de corrupção
roseana-sarney	Escândalos de corrupção
rubens-catenacci	Escândalos de corrupção
rubens-otoni	Escândalos de corrupção
rubens-ricupero	Escândalos de corrupção
rubnei-quicoli	Escândalos de corrupção
rui-falcao	Escândalos de corrupção
salvatore-cacciola	Escândalos de corrupção
sandes-junior	Escândalos de corrupção
saraiva-felipe	Escândalos de corrupção
schincariol	Escândalos de corrupção
sergio-cabral	Escândalos de corrupção
sergio-gomes-da-silva-o-sombra	Escândalos de corrupção
sergio-motta	Escândalos de corrupção
serys-slhessarenko	Escândalos de corrupção
silvio-pereira	Escândalos de corrupção
simone-vasconcelos	Escândalos de corrupção
stepan-nercessian	Escândalos de corrupção
sylvia-maluf	Escândalos de corrupção
tarcisio-franklin-de-moura	Escândalos de corrupção
tiao-viana	Escândalos de corrupção
valdebran-padilha	Escândalos de corrupção
valdemar-costa-neto	Escândalos de corrupção
vicente-viscome	Escândalos de corrupção
vinicius-de-oliveira	Escândalos de corrupção
vinicius-samarane	Escândalos de corrupção
vladimir-poleto	Escândalos de corrupção
wagner-baptista-ramos	Escândalos de corrupção
wagner-canhedo	Escândalos de corrupção
wagner-cinchetto	Escândalos de corrupção
wagner-rossi	Escândalos de corrupção
waldomiro-diniz	Escândalos de corrupção
wanderval-santos	Escândalos de corrupção
wellington-fagundes	Escândalos de corrupção
wellington-roberto	Escândalos de corrupção
zelia-cardoso-de-mello	Escândalos de corrupção
zila-bezerra	Escândalos de corrupção
zilmar-fernandes	Escândalos de corrupção
