id,tipo,url
39,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96925&tipo=0
40,foto,http://www.camara.gov.br/internet/deputado/bandep/73885.jpg
40,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96932&tipo=0
41,foto,http://www.camara.gov.br/internet/deputado/bandep/73652.jpg
41,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96938&tipo=0
42,foto,http://www.camara.gov.br/internet/deputado/bandep/74648.jpg
42,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96943&tipo=0
43,foto,http://www.camara.gov.br/internet/deputado/bandep/73433.jpg
43,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96950&tipo=0
44,foto,http://www.camara.gov.br/internet/deputado/bandep/74405.jpg
44,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96957&tipo=0
45,foto,http://www.camara.gov.br/internet/deputado/bandep/73434.jpg
45,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96966&tipo=0
46,foto,http://www.camara.gov.br/internet/deputado/bandep/74534.jpg
46,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96971&tipo=0
47,foto,http://www.camara.gov.br/internet/deputado/bandep/74089.jpg
47,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96978&tipo=0
48,foto,http://www.camara.gov.br/internet/deputado/bandep/73435.jpg
48,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96986&tipo=0
49,foto,http://www.camara.gov.br/internet/deputado/bandep/74843.jpg
49,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96992&tipo=0
50,foto,http://www.camara.gov.br/internet/deputado/bandep/74090.jpg
50,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=96997&tipo=0
51,foto,http://www.camara.gov.br/internet/deputado/bandep/74441.jpg
51,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97004&tipo=0
52,foto,http://www.camara.gov.br/internet/deputado/bandep/74312.jpg
52,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97009&tipo=0
53,foto,http://www.camara.gov.br/internet/deputado/bandep/73663.jpg
53,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97017&tipo=0
54,foto,http://www.camara.gov.br/internet/deputado/bandep/73767.jpg
54,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97024&tipo=0
55,foto,http://www.camara.gov.br/internet/deputado/bandep/74535.jpg
55,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97031&tipo=0
56,foto,http://www.camara.gov.br/internet/deputado/bandep/74650.jpg
56,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97038&tipo=0
57,foto,http://www.camara.gov.br/internet/deputado/bandep/74321.jpg
57,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97050&tipo=0
58,foto,http://www.camara.gov.br/internet/deputado/bandep/74651.jpg
58,politicosorg,http://www.politicos.org.br/carlos-do-carmo-andrade-melles
58,camara,http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=97058&tipo=0
58,wiki,pt.wikipedia.org/wiki/Carlos_Melles
59,foto,http://www.camara.gov.br/internet/deputado/bandep/74652.jpg
