id,camaraPk,cargos,codinomes,curriculo,foto,legislaturas,nome,profissoes,senadoId,uf
367,99210,,Igor Avelino,,http://www.camara.gov.br/internet/deputado/bandep/74443.jpg,,Igor Pugliesi Avelino,Agropecuarista e Empresário,,
368,99214,,Pastor Amarildo,,http://www.camara.gov.br/internet/deputado/bandep/74444.jpg,52,Amarildo Martins da Silva,Empresário e Técnico em Contabilidade,,TO
369,99220,,André De Paula,,http://www.camara.gov.br/internet/deputado/bandep/74471.jpg,"52,53,54,55",André Carlos Alves de Paula Filho,Advogado,,
370,99227,,Armando Monteiro,,http://www.camara.gov.br/internet/deputado/bandep/74472.jpg,52.53,Armando de Queiroz Monteiro Neto,"Industrial, Advogado e Administrador de Empresas",,PE
371,99236,,Carlos Batata,,http://www.camara.gov.br/internet/deputado/bandep/74473.jpg,52,Antonio Carlos Vieira Dos Santos,Agropecuarista e Médico Veterinário,,
372,99246,,Carlos Eduardo Cadoca,,http://www.camara.gov.br/internet/deputado/bandep/74474.jpg,"52,53,54,55",Carlos Eduardo Cintra da Costa Pereira,Advogado,,
373,99254,,Clementino Coelho,,http://www.camara.gov.br/internet/deputado/bandep/74475.jpg,,Clementino de Souza Coelho,Administrador de Empresas e Empresário,,
374,99262,,Djalma Paes,,http://www.camara.gov.br/internet/deputado/bandep/74476.jpg,,Djalma Souto Maior Paes Júnior,Advogado,,
375,99268,,Luciano Bivar,,http://www.camara.gov.br/internet/deputado/bandep/74478.jpg,,Luciano Caldas Bivar,"Administrador de Empresas, Bacharel em Direito, Empresário e Segurador",,
376,99274,,Marcos De Jesus,,http://www.camara.gov.br/internet/deputado/bandep/74479.jpg,52,Marcos Antônio de Barros,"Radialista, Pastor Evangélico e Auxiliar de Enfermagem",,
377,99281,,Pedro Eugênio,,http://www.camara.gov.br/internet/deputado/bandep/74556.jpg,53.54,Pedro Eugênio de Castro Toledo Cabral,Economista e Professor Universitário,,PE
378,99287,,Cezar Schirmer,,http://www.camara.gov.br/internet/deputado/bandep/73480.jpg,52.53,Cezar Augusto Schirmer,Advogado e Professor Universitário,,
379,99294,,Pompeo De Mattos,,http://www.camara.gov.br/internet/deputado/bandep/73486.jpg,"52,53,55",Darci Pompeo de Mattos,Advogado e Bancário,,
380,99300,,Fernando Marroni,,http://www.camara.gov.br/internet/deputado/bandep/73481.jpg,"53,54,55",Fernando Stephan Marroni,Servidor Público,,RS
381,99306,,Henrique Fontana,,http://www.camara.gov.br/internet/deputado/bandep/73482.jpg,"52,53,54,55",Henrique Fontana Júnior,Médico e Administrador de Empresas,,
382,99312,,Luis Carlos Heinze,Lava a Jato,http://www.camara.gov.br/internet/deputado/bandep/73483.jpg,"52,53,54,55",Luis Carlos Heinze,Engenheiro Agrônomo e Produtor Rural,,
383,99319,,Caio Riela,,http://www.camara.gov.br/internet/deputado/bandep/73479.jpg,,Luiz Carlos Repiso Riela,Advogado,,
384,99325,,Beto Albuquerque,"Arquivo 7, p. 6",http://www.camara.gov.br/internet/deputado/bandep/73478.jpg,"52,53,54",Luiz Roberto de Albuquerque,Advogado,,
385,99330,,Marcos Rolim,,http://www.camara.gov.br/internet/deputado/bandep/73484.jpg,,Marcos Flávio Rolim,Jornalista,,
386,99337,,Roberto Argenta,,http://www.camara.gov.br/internet/deputado/bandep/73487.jpg,,Roberto Argenta,Empresário,,
387,99343,,Synval Guazzelli,,http://www.camara.gov.br/internet/deputado/bandep/73488.jpg,,Synval Sebastião Duarte Guazzelli,Advogado,,
388,99349,,Airton Cascavel,,http://www.camara.gov.br/internet/deputado/bandep/74340.jpg,,Airton Antonio Soligo,Empresário,,
389,99355,,Sá,,http://www.camara.gov.br/internet/deputado/bandep/74341.jpg,52.53,Almir Morais Sá,Advogado,,
390,99362,,Celcita Pinheiro,,http://www.camara.gov.br/internet/deputado/bandep/74799.jpg,52.53,Celcita Rosa Pinheiro da Silva,Professora,,
391,99368,,Alceu Collares,,http://www.camara.gov.br/internet/deputado/bandep/73477.jpg,52,Alceu de Deus Collares,Advogado e Funcionário Público,,
392,99374,,Lino Rossi,Sanguessugas (Escândalo das Ambulâncias),http://www.camara.gov.br/internet/deputado/bandep/74800.jpg,52,Laudnir Lino Rossi,Radialista e Apresentador de Televisão,,
393,99380,,Wilson Santos,,http://www.camara.gov.br/internet/deputado/bandep/74801.jpg,52,Wilson Pereira Dos Santos,Professor,,
394,99387,,Átila Lira,,http://www.camara.gov.br/internet/deputado/bandep/74459.jpg,"52,53,54,55",Átila Freitas Lira,Economista e Administrador de Empresas,,
395,99394,,Marcelo Castro,,http://www.camara.gov.br/internet/deputado/bandep/74460.jpg,"52,53,54,55",Marcelo Costa e Castro,Médico,,
396,99403,,Themístocles Sampaio,,http://www.camara.gov.br/internet/deputado/bandep/74461.jpg,53,Themístocles de Sampaio Pereira,"Agricultor, Advogado e Pecuarista",,
397,99416,,Wellington Dias,,http://www.camara.gov.br/internet/deputado/bandep/74462.jpg,,José Wellington Barroso de Araújo Dias,Bancário,,PI
398,99423,,Francisco Garcia,,http://www.camara.gov.br/internet/deputado/bandep/74355.jpg,52,Francisco Garcia Rodrigues,Médico e Empresário,,
399,99430,,Silas Câmara,FIQUE DE OLHO,http://www.camara.gov.br/internet/deputado/bandep/74356.jpg,"52,53,54,55",Silas Câmara,Empresário,,
400,99439,,Vanessa Grazziotin,"Arquivo 5, p. 15",http://www.camara.gov.br/internet/deputado/bandep/74357.jpg,52.53,Vanessa Grazziotin,Professora e Farmacêutica,,
401,99444,,Geraldo Simões,,http://www.camara.gov.br/internet/deputado/bandep/74566.jpg,53.54,Geraldo Simões de Oliveira,"Administrador de Empresas, Técnico Agrícola e Funcionário Público Federal",,
402,99452,,Gerson Gabrielli,,http://www.camara.gov.br/internet/deputado/bandep/74567.jpg,52,Gerson Silva Gabrielli,Empresário,,
403,99457,,Jonival Lucas Junior,,http://www.camara.gov.br/internet/deputado/bandep/74568.jpg,52,Jonival Lucas da Silva Junior,Economista,,
404,99462,,José Ronaldo,,http://www.camara.gov.br/internet/deputado/bandep/74569.jpg,,José Ronaldo de Carvalho,Administrador de Empresas e Professor,,
405,99469,,Jutahy Junior,,http://www.camara.gov.br/internet/deputado/bandep/74570.jpg,"52,53,54,55",Jutahy Magalhães Júnior,Advogado,,BA
406,99475,,Nelson Pellegrino,,http://www.camara.gov.br/internet/deputado/bandep/74571.jpg,"52,53,54,55",Nelson Vicente Portela Pellegrino,Advogado,,
407,99479,,Nilo Coelho,,http://www.camara.gov.br/internet/deputado/bandep/74572.jpg,,Nilo Augusto Moraes Coelho,Empresário,,
408,99484,,Paulo Magalhães,Lesão Corporal,http://www.camara.gov.br/internet/deputado/bandep/74574.jpg,"52,53,54,55",Paulo Sérgio Paranhos de Magalhães,Administrador de Empresas,,
409,99491,,Saulo Pedrosa,,http://www.camara.gov.br/internet/deputado/bandep/74575.jpg,,Saulo Pedrosa de Almeida,Agropecuarista e Médico,,
410,99496,,Waldir Pires,,http://www.camara.gov.br/internet/deputado/bandep/74576.jpg,,Francisco Waldir Pires de Souza,Advogado e Professor,,BA
411,99504,,Francistônio Pinto,,http://www.camara.gov.br/internet/deputado/bandep/74565.jpg,,Francistônio Alves Pinto,Pecuarista,,
412,99511,,Valdeci Paiva,,http://www.camara.gov.br/internet/deputado/bandep/74691.jpg,,Antônio Valdeci de Paiva,Radialista,,
413,99514,,Vivaldo Barbosa,,http://www.camara.gov.br/internet/deputado/bandep/74694.jpg,,Vivaldo Vieira Barbosa,Advogado e Professor,,
414,99522,,Almerinda De Carvalho,,http://www.camara.gov.br/internet/deputado/bandep/74675.jpg,52,Almerinda Filgueiras de Carvalho,Professora e Pedagoga,,
415,99529,,Dino Fernandes,,http://www.camara.gov.br/internet/deputado/bandep/74679.jpg,,Itanildes Orlando Fernandes,Advogado,,
416,99535,,Carlos Rodrigues,,http://www.camara.gov.br/internet/deputado/bandep/74676.jpg,52,Carlos Alberto Rodrigues Pinto,Radialista e Pastor Evangélico,,RJ
417,99538,,Coronel Garcia,,http://www.camara.gov.br/internet/deputado/bandep/74678.jpg,,José Maurício Rodrigues Garcia,Militar,,
418,99541,,Cornélio Ribeiro,,http://www.camara.gov.br/internet/deputado/bandep/74677.jpg,,Cornélio Ribeiro,Empresário,,
419,99547,,Luiz Ribeiro,,http://www.camara.gov.br/internet/deputado/bandep/74681.jpg,,Luiz Antônio Dantas Ribeiro,Médico e Professor,,
420,99555,,João Sampaio,,http://www.camara.gov.br/internet/deputado/bandep/74685.jpg,,João Carlos de Almeida Sampaio,"Professor Universitário, Arquiteto e Urbanista",,
421,99558,,Luisinho,,http://www.camara.gov.br/internet/deputado/bandep/74687.jpg,,Luís Eduardo Almeida de Oliveira,Servidor Público,,
422,99563,,Jorge Bittar,,http://www.camara.gov.br/internet/deputado/bandep/74686.jpg,"52,53,54",Jorge Ricardo Bittar,Engenheiro Eletrônico,,RJ
423,99570,,Eduardo Paes,"Arquivo 6, p. 23",http://www.camara.gov.br/internet/deputado/bandep/74683.jpg,52,Eduardo da Costa Paes,Bacharel em Direito,,
424,99573,,Dr. Heleno,,http://www.camara.gov.br/internet/deputado/bandep/74680.jpg,52,Heleno Augusto de Lima,Advogado e Contador,,PB
425,99585,,Iédio Rosa,,http://www.camara.gov.br/internet/deputado/bandep/74684.jpg,,Iédio Rosa da Silva,Advogado,,
426,99589,,Luiz Sérgio,,http://www.camara.gov.br/internet/deputado/bandep/74688.jpg,"52,53,54,55",Luiz Sérgio Nóbrega de Oliveira,Delineador Naval,,RJ
427,99595,,Mattos Nascimento,,http://www.camara.gov.br/internet/deputado/bandep/74689.jpg,,Matusael do Nascimento,Músico,,
428,99598,,Paulo Baltazar,Sanguessugas (Escândalo das Ambulâncias),http://www.camara.gov.br/internet/deputado/bandep/74692.jpg,52,Paulo César Baltazar da Nóbrega,"Médico, Professor e Bancário",,
429,99604,,Rodrigo Maia,http://brasil.elpais.com/brasil/2016/07/14/politica/1468448872_936595.html#?ref=rss&amp;format=simple&amp;link=guid,http://www.camara.gov.br/internet/deputado/bandep/74693.jpg,"52,53,54,55",Rodrigo Felinto Ibarra Epitacio Maia,Bancário,,
430,99607,,Wanderley Martins,,http://www.camara.gov.br/internet/deputado/bandep/74695.jpg,,Vanderley Martins de Brito,Delegado,,
431,99610,,Sérgio Carvalho,,http://www.camara.gov.br/internet/deputado/bandep/74360.jpg,52,Sérgio Siqueira de Carvalho,Médico,,
432,99614,,Eber Silva,,http://www.camara.gov.br/internet/deputado/bandep/74682.jpg,,Eber Silva,Professor e Pastor Batista,,
433,99621,,Miriam Reid,,http://www.camara.gov.br/internet/deputado/bandep/74690.jpg,52,Miriam Santos Mancebo Reid,Professora e Assistente Social,,
434,99624,,Waldir Schmidt,,http://www.camara.gov.br/internet/deputado/bandep/73489.jpg,,Waldir Artur Schmidt,"Empresário, Técnico em Contabilidade e Corretor de Imóveis",,
435,99630,,Leo Alcântara,,http://www.camara.gov.br/internet/deputado/bandep/74455.jpg,52.53,Leonardo Rosário de Alcântara,Advogado e Empresário,,
436,99635,,Antonio Cambraia,,http://www.camara.gov.br/internet/deputado/bandep/74452.jpg,52,Antonio Elbano Cambraia,"Economista, Professor Universitário e Administrador Público",,
437,99642,,Chiquinho Feitosa,,http://www.camara.gov.br/internet/deputado/bandep/74453.jpg,,Francisco Feitosa de Albuquerque Lima,Agropecuarista e Empresário,,
438,99648,,Almeida De Jesus,Sanguessugas (Escândalo das Ambulâncias),http://www.camara.gov.br/internet/deputado/bandep/74451.jpg,52,Francisco Almeida Lima,Servidor Público,,
439,99655,,Adolfo Marinho,,http://www.camara.gov.br/internet/deputado/bandep/74450.jpg,,Adolfo de Marinho Pontes,Engenheiro,,
440,99658,,Sérgio Novais,,http://www.camara.gov.br/internet/deputado/bandep/74458.jpg,,Aluisio Sérgio Novais Eleutério,Engenheiro Químico,,
441,99664,,Eunício Oliveira,,http://www.camara.gov.br/internet/deputado/bandep/74454.jpg,52.53,Eunício Lopes de Oliveira,Agropecuarista e Empresário,,
442,99672,,Manoel Salviano,,http://www.camara.gov.br/internet/deputado/bandep/74456.jpg,"52,53,54",Manoel Salviano Sobrinho,Industrial e Médico,,
443,99679,,Moroni Torgan,,http://www.camara.gov.br/internet/deputado/bandep/74457.jpg,52.55,Moroni Bing Torgan,Delegado de Polícia Federal,,
444,99685,,Hildebrando Pascoal,,http://www.camara.gov.br/internet/deputado/bandep/74361.jpg,,Hildebrando Pascoal Nogueira Neto,Militar,,
445,99691,,Ildefonço Cordeiro,,http://www.camara.gov.br/internet/deputado/bandep/74362.jpg,,Ildefonço Rodrigues Cordeiro,Comerciante,,
446,99703,,Marcio Bittar,,http://www.camara.gov.br/internet/deputado/bandep/74363.jpg,54,Márcio Miguel Bittar,Agropecuarista,,
447,99713,,Marcos Afonso,,http://www.camara.gov.br/internet/deputado/bandep/74364.jpg,,Marcos Afonso Pontes de Souza,Jornalista e Professor,,
448,99717,,Nilson Mourão,,http://www.camara.gov.br/internet/deputado/bandep/74365.jpg,52.53,Nilson Moura Leite Mourão,Professor Universitário,,
449,99724,,Sérgio Barros,,http://www.camara.gov.br/internet/deputado/bandep/74442.jpg,,Sérgio Sebastião de Barros,"Agropecuarista, Empresário e Engenheiro Agrimensor",,
450,99731,,Augusto Franco,,http://www.camara.gov.br/internet/deputado/bandep/74561.jpg,,Augusto do Prado Franco Neto,Empresário,,
451,99734,,Ivan Paixão,,http://www.camara.gov.br/internet/deputado/bandep/74562.jpg,52,José Ivan de Carvalho Paixão,Médico,,
452,99741,,Jorge Alberto,,http://www.camara.gov.br/internet/deputado/bandep/74563.jpg,52.53,Jorge Alberto Teles Prado,Médico,,
453,99749,,Sérgio Reis,,http://www.camara.gov.br/internet/deputado/bandep/74564.jpg,,Artur Sérgio de Almeida Reis,Radialista e Comerciante,,
454,99756,,Ronaldo Caiado,,http://www.camara.gov.br/internet/deputado/bandep/74813.jpg,"52,53,54",Ronaldo Ramos Caiado,"Médico, Professor e Produtor Rural",,
455,99764,,Euler Morais,,http://www.camara.gov.br/internet/deputado/bandep/74807.jpg,,Euler Lázaro de Morais,Economista e Servidor Público,,
456,99770,,Geovan Freitas,,http://www.camara.gov.br/internet/deputado/bandep/74808.jpg,,Geovan Freitas Carvalho,Advogado,,
457,99776,,Juquinha,,http://www.camara.gov.br/internet/deputado/bandep/74809.jpg,,José Francisco Das Neves,Professor e Engenheiro Eletricista,,
458,99783,,Luiz Bittencourt,,http://www.camara.gov.br/internet/deputado/bandep/74810.jpg,52.53,Luiz José Bittencourt,Engenheiro Civil e Professor Universitário,,
459,99792,,Lúcia Vânia,,http://www.camara.gov.br/internet/deputado/bandep/65498.jpg,,Lúcia Vânia Abrão Costa,Jornalista,,GO
460,99799,,Pedro Chaves,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,http://www.camara.gov.br/internet/deputado/bandep/74812.jpg,"52,53,54,55",Pedro Pinheiro Chaves,Engenheiro Civil,,
461,99805,,Norberto Teixeira,,http://www.camara.gov.br/internet/deputado/bandep/74811.jpg,,Norberto José Teixeira,Empresário,,
462,99812,,Agnaldo Muniz,,http://www.camara.gov.br/internet/deputado/bandep/74358.jpg,52.53,Agnaldo Muniz,Advogado,,
463,99816,,Nilton Capixaba,Sanguessugas (Escândalo das Ambulâncias),http://www.camara.gov.br/internet/deputado/bandep/74359.jpg,"52,54,55",Nilton Balbino,Empresário,,
464,99823,,Cabo Júlio,,http://www.camara.gov.br/internet/deputado/bandep/74577.jpg,52,Júlio Cesar Gomes Dos Santos,Policial Militar,,
465,99830,,Cleuber Carneiro,,http://www.camara.gov.br/internet/deputado/bandep/74578.jpg,52,Cleuber Brandão Carneiro,"Advogado, Professor, Produtor Rural e Comerciante",,
466,99838,,Custódio Mattos,,http://www.camara.gov.br/internet/deputado/bandep/74579.jpg,52.53,Custódio Antônio de Mattos,Servidor Público,,
467,99844,,Edmar Moreira,,http://www.camara.gov.br/internet/deputado/bandep/74580.jpg,"52,53,54",Edmar Batista Moreira,Empresário e Produtor Rural,,
468,99850,,Gilmar Machado,,http://www.camara.gov.br/internet/deputado/bandep/74581.jpg,"52,53,54",Gilmar Alves Machado,Professor de História,,
469,99856,,Glycon Terra Pinto,,http://www.camara.gov.br/internet/deputado/bandep/74582.jpg,,Glycon Terra Pinto Junior,Empresário,,
470,99861,,Hélio Costa,,http://www.camara.gov.br/internet/deputado/bandep/74583.jpg,,Hélio Calixto da Costa,"Jornalista, Repórter, Locutor, Publicitário, Tradutor e Redator",,
471,99871,,José Militão,,http://www.camara.gov.br/internet/deputado/bandep/74584.jpg,52,José Militão Costa,Servidor Público,,
472,99879,,Lincoln Portela,,http://www.camara.gov.br/internet/deputado/bandep/74585.jpg,"52,53,54,55",Lincoln Diniz Portela,"Radialista, Apresentador de Televisão e Conferencista",,
473,99885,,Walfrido Mares Guia,,http://www.camara.gov.br/internet/deputado/bandep/74668.jpg,,Walfrido Silvino Dos Mares Guia Neto,Empresário,,
474,99891,,Maria Do Carmo Lara,"Arquivo 6, p. 8",http://www.camara.gov.br/internet/deputado/bandep/74586.jpg,52.53,Maria do Carmo Lara Perpétuo,Professora e Psicóloga,,
475,99897,,Maria Lúcia Cardoso,,http://www.camara.gov.br/internet/deputado/bandep/74587.jpg,52.53,Maria Lúcia Cardoso,"Professora, Diretora de Empresas e Empresária",,
476,99903,,Olimpio Pires,,http://www.camara.gov.br/internet/deputado/bandep/74588.jpg,,Olimpio Pires Guerra,Empresário,,
477,99907,,Pimenta Da Veiga,,http://www.camara.gov.br/internet/deputado/bandep/74589.jpg,,João Pimenta da Veiga Filho,Advogado,,
478,99916,,Rafael Guerra,,http://www.camara.gov.br/internet/deputado/bandep/74590.jpg,52.53,José Rafael Guerra Pinto Coelho,Médico e Professor Universitário,,
479,99925,,Romeu Queiroz,,http://www.camara.gov.br/internet/deputado/bandep/74591.jpg,52,Romeu Ferreira de Queiroz,Advogado e Empresário,,MG
480,99932,,Ronaldo Vasconcellos,,http://www.camara.gov.br/internet/deputado/bandep/74592.jpg,52,Ronaldo Vasconcellos Novais,Professor Universitário e Engenheiro Eletricista,,
481,99938,,Virgílio Guimarães,,http://www.camara.gov.br/internet/deputado/bandep/74593.jpg,52.53,Virgílio Guimarães de Paula,Economista,,
482,99942,,Zezé Perrella,,http://www.camara.gov.br/internet/deputado/bandep/74669.jpg,,José Perrella de Oliveira Costa,Empresário,,
483,99950,,Carlito Merss,,http://www.camara.gov.br/internet/deputado/bandep/73469.jpg,52.53,Carlito Merss,Professor e Industriário,,
484,99954,,Fernando Coruja,,http://www.camara.gov.br/internet/deputado/bandep/73471.jpg,52.53,Carlos Fernando Agustini,Médico e Professor,,
485,99960,,Gervásio Silva,,http://www.camara.gov.br/internet/deputado/bandep/73472.jpg,52.53,Gervásio José da Silva,"Empresário, Contador e Corretor de Imóveis",,
486,99971,,Eni Voltolini,,http://www.camara.gov.br/internet/deputado/bandep/73470.jpg,,Eni José Voltolini,Administrador de Empresas e Engenheiro Agrônomo,,
487,99977,,Antônio Carlos,,http://www.camara.gov.br/internet/deputado/bandep/73468.jpg,,Antônio Carlos Konder Reis,"Advogado, Economista e Museólogo",,
488,99980,,Leodegar Tiscoski,,http://www.camara.gov.br/internet/deputado/bandep/73473.jpg,52,Leodegar da Cunha Tiscoski,Engenheiro Civil e Professor,,
489,99986,,Luci Choinacki,,http://www.camara.gov.br/internet/deputado/bandep/73474.jpg,52.54,Luci Teresinha Koswoski Choinacki,Agricultora,,
490,99993,,Renato Vianna,,http://www.camara.gov.br/internet/deputado/bandep/73475.jpg,,Renato de Mello Vianna,Advogado e Professor,,
491,100000,,Vicente Caropreso,,http://www.camara.gov.br/internet/deputado/bandep/73476.jpg,,Vicente Augusto Caropreso,Médico,,
492,100006,,Deusdeth Pantoja,,http://www.camara.gov.br/internet/deputado/bandep/74347.jpg,,Deusdeth Antônio Corrêa Pantoja,"Servidor Público, Professor e Contador",,
493,100022,,Valdir Ganzer,,http://www.camara.gov.br/internet/deputado/bandep/74348.jpg,,Valdir Ganzer,Lavrador,,
494,100028,,Jorge Costa,,http://www.camara.gov.br/internet/deputado/bandep/74350.jpg,,Jorge Netto da Costa,Médico,,
495,100037,,Josué Bengtson,Intenscionalmente faltou na votação da cassação de Eduardo Cunha,http://www.camara.gov.br/internet/deputado/bandep/74351.jpg,"52,54,55",Josué Bengtson,Pastor Evangélico,,
496,100046,,Nilson Pinto,,http://www.camara.gov.br/internet/deputado/bandep/74352.jpg,"52,53,54,55",Nilson Pinto de Oliveira,Professor,,
497,100052,,Renildo Leal,,http://www.camara.gov.br/internet/deputado/bandep/74353.jpg,,Renildo Leal Santos,Médico,,
498,100058,,Zenaldo Coutinho,,http://www.camara.gov.br/internet/deputado/bandep/74354.jpg,"52,53,54",Zenaldo Rodrigues Coutinho Júnior,Advogado,,
499,100064,,Babá,,http://www.camara.gov.br/internet/deputado/bandep/74349.jpg,52,João Batista Oliveira de Araujo,Professor Universitário e Engenheiro Mecânico,,
500,100069,,Lavoisier Maia,,http://www.camara.gov.br/internet/deputado/bandep/74463.jpg,52,Lavoisier Maia Sobrinho,Médico e Professor,,
501,100077,,Múcio Sá,,http://www.camara.gov.br/internet/deputado/bandep/74464.jpg,52,Múcio Gurgel de Sá,Administrador de Empresas,,
502,100086,,Givaldo Carimbão,,http://www.camara.gov.br/internet/deputado/bandep/74558.jpg,"52,53,54,55",Givaldo de Sá Gouveia,Comerciante e Gráfico,,
503,100092,,João Caldas,Sanguessugas (Escândalo das Ambulâncias),http://www.camara.gov.br/internet/deputado/bandep/74559.jpg,52.54,João Caldas da Silva,Advogado,,
504,100098,,Regis Cavalcante,,http://www.camara.gov.br/internet/deputado/bandep/74560.jpg,,José Regis Barros Cavalcante,"Advogado, Jornalista e Radialista",,
505,100103,,Paulo Octávio,,http://www.camara.gov.br/internet/deputado/bandep/74804.jpg,,Paulo Octávio Alves Pereira,Empresário,,
506,100111,,Maria Abadia,,http://www.camara.gov.br/internet/deputado/bandep/74803.jpg,,Maria de Lourdes Abadia,"Professora, Assistente Social e Consultora",,
507,100115,,Ben-Hur Ferreira,,http://www.camara.gov.br/internet/deputado/bandep/74814.jpg,,Eurídio Ben-Hur Ferreira,Advogado e Professor,,
508,100119,,João Grandão,,http://www.camara.gov.br/internet/deputado/bandep/73454.jpg,52,João Batista Dos Santos,"Advogado, Professor e Bancário",,
509,100125,,Waldemir Moka,,http://www.camara.gov.br/internet/deputado/bandep/73456.jpg,52.53,Waldemir Moka Miranda Britto,Médico e Professor,,
510,100131,,Pedro Pedrossian,,http://www.camara.gov.br/internet/deputado/bandep/73455.jpg,52,Pedro Pedrossian Filho,Empresário Rural,,
511,100138,,Avenzoar Arruda,,http://www.camara.gov.br/internet/deputado/bandep/74465.jpg,,José Avenzoar Arruda Das Neves,Professor e Engenheiro Mecânico,,
512,100145,,Paulo Braga,,http://www.camara.gov.br/internet/deputado/bandep/74573.jpg,,Paulo Roberto Luz Braga,Agropecuarista e Administrador de Empresas,,
513,100150,,Marcondes Gadelha,"Arquivo 7, p. 4",http://www.camara.gov.br/internet/deputado/bandep/74470.jpg,"52,53,55",Marcondes Iran Benevides Gadelha,Médico,,
514,100157,,Carlos Dunga,,http://www.camara.gov.br/internet/deputado/bandep/74466.jpg,52,Carlos Marques Dunga,"Advogado, Pecuarista e Professor",,PB
515,100168,,Damião Feliciano,,http://www.camara.gov.br/internet/deputado/bandep/74467.jpg,"52,53,54,55",Damião Feliciano da Silva,"Médico, Radialista e Empresário",,
516,100175,,Domiciano Cabral,,http://www.camara.gov.br/internet/deputado/bandep/74468.jpg,52,José Domiciano Cabral,Administrador de Empresas e Corretor de Imóveis,,
517,100186,,Inaldo Leitão,"Crime Contra o Patrimônio, Declaração Falsa de Imposto de Renda",http://www.camara.gov.br/internet/deputado/bandep/74469.jpg,52,Inaldo Rocha Leitão,Advogado e Professor,,
518,100196,,Magela,,http://www.camara.gov.br/internet/deputado/bandep/74802.jpg,53.54,Geraldo Magela Pereira,Bancário,,
519,100200,,Pedro Celso,,http://www.camara.gov.br/internet/deputado/bandep/74805.jpg,,Pedro Celso,Servidor Público,,
520,100206,,Tadeu Filippelli,,http://www.camara.gov.br/internet/deputado/bandep/74806.jpg,52.53,Nelson Tadeu Filippelli,Empresário e Engenheiro Elétrico,,
521,100213,,José Carlos Fonseca Jr.,,http://www.camara.gov.br/internet/deputado/bandep/74670.jpg,,José Carlos da Fonseca Júnior,Diplomata,,
522,100219,,José Carlos Elias,,http://www.camara.gov.br/internet/deputado/bandep/74671.jpg,52,José Carlos Elias,Agricultor e Bancário,,
523,100225,,Magno Malta,,http://www.camara.gov.br/internet/deputado/bandep/74672.jpg,,Magno Pereira Malta,Pastor Evangélico e Músico,,
524,100231,,Max Mauro,,http://www.camara.gov.br/internet/deputado/bandep/74673.jpg,,Max Freitas Mauro,Médico,,
525,100236,,Ricardo Ferraço,,http://www.camara.gov.br/internet/deputado/bandep/74674.jpg,,Ricardo de Rezende Ferraço,Superior Incompleto,,
526,100242,,Antonio Palocci,,http://www.camara.gov.br/internet/deputado/bandep/74701.jpg,53,Antonio Palocci Filho,Médico,,SP
527,100251,,Wanderval Santos,Corrupção Passiva,http://www.camara.gov.br/internet/deputado/bandep/74702.jpg,52,Vandeval Lima Dos Santos,Radialista e Empresário,,
528,100258,,Dr. Evilásio,,http://www.camara.gov.br/internet/deputado/bandep/74705.jpg,52,Evilásio Cavalcante de Farias,Médico,,
529,100265,,Gilberto Kassab,,http://www.camara.gov.br/internet/deputado/bandep/74778.jpg,52,Gilberto Kassab,Economista e Engenheiro Civil,,
530,100268,,Julio Semeghini,,http://www.camara.gov.br/internet/deputado/bandep/74783.jpg,"52,53,54",Julio Francisco Semeghini Neto,Engenheiro Eletroeletrônico,,
531,100274,,Medeiros,,http://www.camara.gov.br/internet/deputado/bandep/74786.jpg,52,Luiz Antonio de Medeiros Neto,Metalúrgico e Torneiro Mecânico,,
532,100280,,Marcos Cintra,,http://www.camara.gov.br/internet/deputado/bandep/74785.jpg,,Marcos Cintra Cavalcanti de Albuquerque,Economista e Professor Universitário,,
533,100289,,Nelo Rodolfo,,http://www.camara.gov.br/internet/deputado/bandep/74789.jpg,,Nello Rodolpho Giongo Filho,"Advogado, Jornalista, Radialista e Publicitário",,
534,100295,,Neuton Lima,Sanguessugas (Escândalo das Ambulâncias),http://www.camara.gov.br/internet/deputado/bandep/74790.jpg,52,Rubeneuton Oliveira Lima,Advogado,,
535,100301,,Professor Luizinho,,http://www.camara.gov.br/internet/deputado/bandep/74792.jpg,52,Luiz Carlos da Silva,Professor,,SP
536,100307,,Ricardo Berzoini,,http://www.camara.gov.br/internet/deputado/bandep/74793.jpg,"52,53,54",Ricardo José Ribeiro Berzoini,Bancário,,
537,100314,,Rubens Bueno,,http://www.camara.gov.br/internet/deputado/bandep/73466.jpg,54.55,Rubens Bueno,Professor,,
538,100321,,Márcio Matos,,http://www.camara.gov.br/internet/deputado/bandep/74333.jpg,,Márcio Artur de Matos,Médico,,
539,100332,,Santos Filho,,http://www.camara.gov.br/internet/deputado/bandep/73467.jpg,,Joaquim Dos Santos Filho,Advogado,,
540,100337,,Alex Canziani,,http://www.camara.gov.br/internet/deputado/bandep/73458.jpg,"52,53,54,55",Alex Canziani Silveira,Registrador de Imóveis,,PR
541,100344,,Gustavo Fruet,,http://www.camara.gov.br/internet/deputado/bandep/73460.jpg,52.53,Gustavo Bonato Fruet,Advogado,,PR
542,100347,,Íris Simões,,http://www.camara.gov.br/internet/deputado/bandep/73461.jpg,52.53,Iris Xavier Simões,Radialista,,
